contest_key,date,title,location_str,city,state,state_full,prize,cbj_percentage,is_championship,is_standard,url
1212,2016-05-13,21st Annual Platte City BBQ Cook-off At Basswood Resort,"Platte City, MO",Platte City,MO,Missouri,4525.0,99.0,True,False,http://www.kcbs.us/event/6166/21st-annual-platte-city-bbq-cook-off-at-basswood-resort
1213,2016-05-13,Rockin BBQ,"Warsaw, IN",Warsaw,IN,Indiana,7000.0,100.0,True,True,http://www.kcbs.us/event/6043/rockin-bbq
1214,2016-05-13,Boss Hog State Championship Cook-Off (GBC Qualifier),"Waynesboro, GA",Waynesboro,GA,Georgia,0.0,100.0,True,False,http://www.kcbs.us/event/5949/boss-hog-state-championship-cook-off-gbc-qualifier
1215,2016-05-13,Wild West BBQ Cook Off,"Lamar, CO",Lamar,CO,Colorado,0.0,92.0,True,True,http://www.kcbs.us/event/6206/wild-west-bbq-cook-off
1216,2016-05-13,2016 Smokin in the Wood BBQ Competition,"Greenwood, MO",Greenwood,MO,Missouri,5000.0,100.0,True,True,http://www.kcbs.us/event/6529/2016-smokin-in-the-wood-bbq-competition
1217,2016-05-13,West Coast BBQ Classic,"Long Beach, CA",Long Beach,CA,California,10000.0,96.0,True,True,http://www.kcbs.us/event/6409/west-coast-bbq-classic
1218,2016-05-13,BBQ Jamboree,"Fredericksburg, VA",Fredericksburg,VA,Virginia,12500.0,100.0,True,False,http://www.kcbs.us/event/6067/bbq-jamboree
1219,2016-05-13,Madison Magazine BBQ Festival,"Sauk City, WI",Sauk City,WI,Wisconsin,3000.0,100.0,True,True,http://www.kcbs.us/event/6276/madison-magazine-bbq-festival
1220,2016-05-13,Roman Roast on the River,"Rome, GA",Rome,GA,Georgia,9100.0,100.0,True,False,http://www.kcbs.us/event/6149/roman-roast-on-the-river
1221,2016-05-13,Minnesota in May,"Falcon Heights, MN",Falcon Heights,MN,Minnesota,10000.0,100.0,True,True,http://www.kcbs.us/event/6022/minnesota-in-may
1222,2016-05-13,Mississippi Springfest BBQ Contest,"Ashland, MS",Ashland,MS,Mississippi,6500.0,100.0,True,False,http://www.kcbs.us/event/6019/mississippi-springfest-bbq-contest
1223,2016-05-13,Boots and BBQ Festival,"Claremore, OK",Claremore,OK,Oklahoma,7500.0,,True,False,http://www.kcbs.us/event/6467/boots-and-bbq-festival
1224,2016-05-13,Sam's Club National BBQ Tour,"Bowling Green, KY",Bowling Green,KY,Kentucky,10000.0,,False,True,http://www.kcbs.us/event/6357/sams-club-national-bbq-tour
1225,2016-05-20,BBQ 4 ASTOP,"Fond du Lac, WI",Fond du Lac,WI,Wisconsin,5000.0,,True,True,http://www.kcbs.us/event/5974/bbq-4-astop
1226,2016-05-20,Salt City BBQ Festival,"Syracuse, NY",Syracuse,NY,New York,5000.0,100.0,True,True,http://www.kcbs.us/event/6290/salt-city-bbq-festival
1227,2016-05-20,Piggin In The Park,"Woodruff, SC",Woodruff,SC,South Carolina,5000.0,100.0,True,False,http://www.kcbs.us/event/6407/piggin-in-the-park
1228,2016-05-20,Saltwater Brew 'N' Que,"Chincoteague, VA",Chincoteague,VA,Virginia,6000.0,,True,False,http://www.kcbs.us/event/6452/saltwater-brew-n-que
1229,2016-05-20,Kings of Q BBQ cook off and Festival,"Ayden, NC",Ayden,NC,North Carolina,10000.0,100.0,True,True,http://www.kcbs.us/event/6241/kings-of-q-bbq-cook-off-and-festival
1230,2016-05-20,Barber Q Battle,"Birmingham, AL",Birmingham,AL,Alabama,10000.0,100.0,True,False,http://www.kcbs.us/event/6343/barber-q-battle
1231,2016-05-20,Bloomin' BBQ & Bluegrass,"Sevierville, TN",Sevierville,TN,Tennessee,15440.0,100.0,True,False,http://www.kcbs.us/event/6416/bloomin-bbq-bluegrass
1232,2016-05-20,Smokin' for Garrett,"Boonville, IN",Boonville,IN,Indiana,3800.0,,False,True,http://www.kcbs.us/event/6354/smokin-for-garrett
1233,2016-05-20,Sam's Club National BBQ Tour,"Southhaven, MS",Southhaven,MS,Mississippi,10000.0,,True,True,http://www.kcbs.us/event/6358/sams-club-national-bbq-tour
1234,2016-05-20,Grand Lake BBQ & Festival,"Langley, OK",Langley,OK,Oklahoma,10000.0,100.0,True,True,http://www.kcbs.us/event/6049/grand-lake-bbq-festival
1235,2016-05-20,*2nd Annual Pork in the Park,"Wyandotte, MI",Wyandotte,MI,Michigan,8000.0,100.0,True,True,http://www.kcbs.us/event/6431/2nd-annual-pork-in-the-park
1236,2016-05-20,Chesapeake Jubilee,"Chesapeake, VA",Chesapeake,VA,Virginia,14000.0,100.0,True,True,http://www.kcbs.us/event/6235/chesapeake-jubilee
1237,2016-05-20,5th Annual Valley Veteran's BBQ Competition,"Valley, NE",Valley,NE,Nebraska,10000.0,,True,True,http://www.kcbs.us/event/6092/5th-annual-valley-veterans-bbq-competition
1238,2016-05-27,Lewisburg Rotary Club BBQ Cookoff,"Lewisburg, TN",Lewisburg,TN,Tennessee,8000.0,100.0,True,False,http://www.kcbs.us/event/6113/lewisburg-rotary-club-bbq-cookoff
1239,2016-05-27,Hog Wild BBQ Cookoff and Family Festival,"Brookhaven, MS",Brookhaven,MS,Mississippi,7500.0,100.0,True,False,http://www.kcbs.us/event/6189/hog-wild-bbq-cookoff-and-family-festival
1240,2016-05-27,PigMaina Lima,"Lima, OH",Lima,OH,Ohio,5001.0,100.0,True,True,http://www.kcbs.us/event/6248/pigmaina-lima
1241,2016-05-27,"Red, White & BBQ (Day 1)","Westmont, IL",Westmont,IL,Illinois,8000.0,100.0,True,True,http://www.kcbs.us/event/6108/red-white-bbq-day-1
1242,2016-05-27,The National BBQ Cup (Day 1),"Nashville, TN",Nashville,TN,Tennessee,30150.0,100.0,True,False,http://www.kcbs.us/event/6471/the-national-bbq-cup-day-1
1243,2016-05-27,35th Annual Kennett Jaycee's Show Me State BBQ Cook off,"Kennett, MO",Kennett,MO,Missouri,10000.0,100.0,True,True,http://www.kcbs.us/event/6439/35th-annual-kennett-jaycees-show-me-state-bbq-cook-off
1244,2016-05-27,Best Dam Barbecue,"Boulder City, NV",Boulder City,NV,Nevada,12000.0,100.0,True,True,http://www.kcbs.us/event/6424/best-dam-barbecue
